地名,ちめい,緯度,経度,地方,
モプチ,Mopti,14.283,-4.10001,マリ,Africa/Bamako
ケーズ,Kayes,14.253,-11.27,マリ,Africa/Bamako
バレッタ,Valletta,35.54302,14.31,マルタ,MET
モナコ,Manaco,43.44,7.25,モナコ公国,MET
マジュロ,Majuro,7.1,172.19,マーシャル諸島,Pacific/Majuro
ヌアクショット,Nouakchott,18.08298,-15.57302,モーリタニア,Africa/Nouakchott
ポートルイス,Portlouis,-20.103,57.3,モーリシャス,Africa/Nouakchott
グアダラハラ,Guadalajara,20.4,-103.203,メキシコ,America/Monterrey
モンテレイ,Monterrey,25.4,-100.183,メキシコ,America/Monterrey
プエブラ,Puebla,19.03,-98.093,メキシコ,America/Monterrey
ラパス,La Paz,24,-111,メキシコ,America/La_Paz
レオン,Leon,21.1,-101.42,メキシコ,America/La_Paz
シウダードフアレス,Ciudad Juarez,31.403,-106.293,メキシコ,America/La_Paz
メヒカリ,Mexicali,32.373,-115.283,メキシコ,America/La_Paz
ティファナ,Tijuana,32.28,-117.01,メキシコ,America/Tijuana
メリダ,Merida,20.58,-89.37,メキシコ,America/Merida
アカプルコ,Acapulco,16.51,-99.56,メキシコ,America/Merida
オアハカ,Oaxaca,17.0228,-96.4705,メキシコ,America/Merida
トレオン,Torreon,25.32,-103.25,メキシコ,America/Merida
アグアスカリエンテス,Aguascalientes,21.53,-102.18,メキシコ,America/Merida
モレリア,Morelia,19.413,-101.09,メキシコ,America/Merida
エルモシヨ,Hermosillo,29.053,-110.58,メキシコ,America/Hermosillo
サルティヨ,Saltillo,25.25,-100.593,メキシコ,America/Hermosillo
ベラクルス,Veracruz,19.12,-96.08,メキシコ,America/Hermosillo
ケレタロ,Queretaro,20.35,-100.22,メキシコ,America/Hermosillo
タンピコ,Tampico,22.14,-97.53,メキシコ,America/Hermosillo
マサトラン,Mazatlan,23.14,-106.24,メキシコ,America/Mazatlan
イラプアト,Irapuato,20.403,-101.213,メキシコ,America/Mazatlan
マタモロス,Matamoros,25.513,-97.303,メキシコ,America/Mazatlan
クエルナバカ,Cuernavaca,18.55,-99.14,メキシコ,America/Mazatlan
セラヤ,Celaya,20.31,-100.483,メキシコ,America/Mazatlan
ハラパ・エンリケス,Jalapa Enriquez,19.333,-96.55,メキシコ,America/Mazatlan
レイノサ,Reynosa,26.04,-98.18,メキシコ,America/Mazatlan
ヌエボ・ラレド,Nuevo Laredo,27.28,-99.313,メキシコ,America/Mazatlan
コアツァコアルコス,Coatzacoalcos,18.073,-94.253,メキシコ,America/Mazatlan
テピク,Tepic,21.303,-104.54,メキシコ,America/Mazatlan
シウダード・オブレゴン,Ciudad Obregon,27.29,-109.563,メキシコ,America/Mazatlan
トゥストラ・グティエレス,Tuxtla Gutierrez,16.45,-93.07,メキシコ,America/Mazatlan
シウダード・ビクトリア,Ciudad Victoria,23.44,-99.073,メキシコ,America/Mazatlan
カンペチェ,Campeche,19.493,-90.32,メキシコ,America/Mazatlan
ミナティトラン,Minatitlan,17.583,-94.32,メキシコ,America/Mazatlan
シウダード・マデロ,Ciudad Madero,22.17,-97.5,メキシコ,America/Mazatlan
ロス・モチス,Los Mochis,25.353,-108.58,メキシコ,America/Mazatlan
モンテクロバ,Monclova,26.54,-101.243,メキシコ,America/Mazatlan
ゴメス・パラシオ,Gomez Palacio,25.353,-103.31,メキシコ,America/Mazatlan
オリサバ,Orizaba,18.51,-97.053,メキシコ,America/Mazatlan
クリアカン,Culiacan,24.47,-107.233,メキシコ,America/Mazatlan
メキシコシティ,Mexicocity,19.25,-99.1,メキシコ,America/Mazatlan
チワワ,Chinuahua,28.393,-106.06,メキシコ,America/Mazatlan
サンルイスポトシ,San Luis potosi,22.09,-100.58,メキシコ,America/Mazatlan
パリキール,Parikir,6.49,155.4,ミクロネシア,GMT+11:00
キシニョフ,Kishinyov,47.00151,28.5015,モルドバ,Europe/Tiraspol
ベリツイ,Beltsy,47.45302,27.45299,モルドバ,Europe/Tiraspol
チラスポリ,Tiraspol,46.50298,29.38,モルドバ,Europe/Tiraspol
ベンデルイ,Bendery,46.47298,29.29,モルドバ,Europe/Tiraspol
ウランバートル,Ulaanbaatar,47.523,106.48,モンゴル,Asia/Ulaanbaatar
チョイバルサン,Choybalsan,48.0139,114.2549,モンゴル,Asia/Ulaanbaatar
サインシャンド,Saynshand,44.59042,110.0118,モンゴル,Asia/Ulaanbaatar
ムレン,Moron,49.43415,100.2108,モンゴル,Asia/Ulaanbaatar
アルタイ,Altay,46.18439,96.36061,モンゴル,Asia/Ulaanbaatar
ホフド,Hovd,47.59308,91.04062,モンゴル,Asia/Hovd
ウランゴム,Ulaangom,49.52325,91.35373,モンゴル,Asia/Hovd
アガディール,Agadir,30.3,-9.39302,モロッコ,Africa/Casablanca
アーシフィー,Asifi,32.19,-9.16599,モロッコ,Africa/Casablanca
カニートラ,Kenitra,34.20298,-6.373,モロッコ,Africa/Casablanca
マラケシュ,Marrakech,31.38,-7.59298,モロッコ,Africa/Casablanca
タンジール,Tangier,35.47298,-5.51,モロッコ,Africa/Casablanca
タトワーン,Tatwan,35.343,-5.223,モロッコ,Africa/Casablanca
ウジュダ,Wujda,34.403,-1.51,モロッコ,Africa/Casablanca
カサブランカ,Casablanca,33.37,-7.34599,モロッコ,Africa/Casablanca
ラバト,Rabat,34.013,-6.50298,モロッコ,Africa/Casablanca
フェス,Fes,34.07451,-4.55023,モロッコ,Africa/Casablanca
メクネス,Meknes,34.10376,-5.26586,モロッコ,Africa/Casablanca
エル・ジャディダ,El Jadida,32.59128,-8.36526,モロッコ,Africa/Casablanca
タルファヤ,Tarfaya,27.54058,-12.40095,モロッコ,Africa/Casablanca
ジジ・イフニ,Sidi Ifni,29.11182,-10.13512,モロッコ,Africa/Casablanca
セタート,Settat,33.14503,-8.13584,モロッコ,Africa/Casablanca
マプート,Maputo,-25.56002,32.35,モザンビーク,Africa/Maputo
ベイラ,Beira,-19.48302,34.523,モザンビーク,Africa/Maputo
ヤンゴン,Yangon,16.49,96.10001,ミャンマー,GMT+06:30
マンダレー,Mandalay,21.583,96.03,ミャンマー,GMT+06:30
モールメイン,Moulmein,16.29002,97.39,ミャンマー,GMT+06:30
ペグー,Pegu,17.2,96.283,ミャンマー,GMT+06:30
バセイン,Bassein,16.47301,94.433,ミャンマー,GMT+06:30
シットウェ,Sittwe,20.1,92.55001,ミャンマー,GMT+06:30
プタオ,Putao,26.4043,96.5032,ミャンマー,GMT+06:30
ピー,Pye,18.52556,95.0412,ミャンマー,GMT+06:30
タウンジー,Taunggyi,20.35193,97.0457,ミャンマー,GMT+06:30
ウィントフック,Windhoek,-22.34001,17.06,ナミビア,Africa/Windhoek
ナウル,Nauru,-0.3,166.1,ナウル,Pacific/Nauru
カトマンズ,Kathmandu,27.42,85.19001,ネパール,GMT+05:45
パタン,Patan,27.29298,85.21,ネパール,GMT+05:45
ロッテルダム,Rotterdam,51.54302,4.283,オランダ,MET
ハーグ,Hague,52.05301,4.17,オランダ,MET
ユトレヒト,Utrecht,52.05002,5.073,オランダ,MET
エイントホーフェン,Eindhoven,51.26,5.3,オランダ,MET
フローニンゲン,Groningen,53.12302,6.35,オランダ,MET
ティルブルフ,Tilburg,51.33302,5.05298,オランダ,MET
ハールレム,Haarlem,52.223,4.38,オランダ,MET
アープルドールン,Apeldoorn,52.12302,5.57302,オランダ,MET
ナイメーヘン,Nijmegen,51.493,5.51302,オランダ,MET
エンスヘーデ,Enschede,52.12302,6.53301,オランダ,MET
アルンヘム,Arnhem,51.59,5.553,オランダ,MET
ブレダ,Breda,51.35,4.46001,オランダ,MET
マーストリヒト,Maastricht,50.51,5.43001,オランダ,MET
ドルドレヒト,Dordrecht,51.48302,4.39,オランダ,MET
ライデン,Leiden,52.08298,4.3,オランダ,MET
アムステルダム,Amsterdam,52.21,4.53298,オランダ,Europe/Amsterdam
パーマストンノース,Palmerston North,-40.18302,175.373,ニュージーランド,NZ
ロトルア,Rotorua,-38.09,176.15,ニュージーランド,NZ
ハミルトン,Hamilton,-37.463,175.163,ニュージーランド,NZ
オークランド,Auckland,-36.53301,174.463,ニュージーランド,Pacific/Auckland
クライストチャーチ,Christchurch,-43.33302,172.39,ニュージーランド,NZ
ダニーディン,Dunedin,-45.52001,170.303,ニュージーランド,NZ
ウェリントン,Wellington,-41.18,174.45,ニュージーランド,NZ
ヌーメア,Noumea,-22.14301,166.29,ニューカレドニア,Pacific/Noumea
マナグア,Managua,12.05298,-86.17002,ニカラグア,America/Managua
ニアメ,Niamey,13.313,2.06,ニジェール,Africa/Niamey
ラゴス,Lagos,6.283,3.24302,ナイジェリア,Africa/Lagos
イバダン,Ibadan,7.23298,3.553,ナイジェリア,Africa/Lagos
オグボモショ,Ogbomosho,8.05298,4.11,ナイジェリア,Africa/Lagos
カノ,Kano,12.00302,8.31001,ナイジェリア,Africa/Lagos
オショグボ,Oshogbo,7.51,4.343,ナイジェリア,Africa/Lagos
イロリン,Ilorin,8.32,4.33302,ナイジェリア,Africa/Lagos
ポートハーコート,Port Harcourt,4.433,7.073,ナイジェリア,Africa/Lagos
ザリア,Zaria,11.02002,7.43,ナイジェリア,Africa/Lagos
オニチャ,Onitsha,6.10001,6.48299,ナイジェリア,Africa/Lagos
カドゥナ,Kaduna,10.31,7.253,ナイジェリア,Africa/Lagos
マイドゥーグリ,Maiduguri,11.523,13.12302,ナイジェリア,Africa/Lagos
エヌグ,Enugu,6.23298,7.27302,ナイジェリア,Africa/Lagos
アバ,Aba,5.06302,7.21,ナイジェリア,Africa/Lagos
オヨ,Oyo,7.51302,3.56,ナイジェリア,Africa/Lagos
ベニンシティ,Benin City,6.18302,5.41,ナイジェリア,Africa/Lagos
ジョス,Jos,9.51,8.51,ナイジェリア,Africa/Lagos
カツィナ,Katsina,13.00302,7.32,ナイジェリア,Africa/Lagos
ソコト,Sokoto,13.03,5.15302,ナイジェリア,Africa/Lagos
カラバール,Calabar,4.57,8.21,ナイジェリア,Africa/Lagos
ミナー,Minna,9.38002,6.32298,ナイジェリア,Africa/Lagos
マクルディ,Makurdi,7.44002,8.33,ナイジェリア,Africa/Lagos
アブジャ,Abuja,9.1,7.06,ナイジェリア,Africa/Lagos
平壌,Pyonyan,39.013,125.453,北朝鮮,ROK
チョンジン,Chongjin,41.48,129.51,北朝鮮,ROK
ナンポ,Nampo,38.45,125.233,北朝鮮,ROK
シンウイジュ,Sinuiju,40.05,124.25,北朝鮮,ROK
ウォンサン,Wonsan,39.08,127.253,北朝鮮,ROK
ケソン,Kaesong,37.58,126.32,北朝鮮,ROK
ハムフン,Hamhung,39.55,127.32,北朝鮮,ROK
キムチェク,Kimchaek,40.41,129.12,北朝鮮,ROK
海州,Haeju,38.023,125.43,北朝鮮,ROK
サリウォン,Sariwon,38.303,125.45,北朝鮮,ROK
北極点,North Pole,89.5959,0,北極,UTC
オスロ,Oslo,59.55001,10.45,ノルウェー,Europe/Oslo
トロンヘイム,Trondheim,63.25001,10.23298,ノルウェー,MET
スタバンゲル,Stavanger,58.583,5.44002,ノルウェー,MET
クリスティアンサン,Kristiansand,58.08298,7.583,ノルウェー,MET
ドランメン,Drammen,59.44298,10.12302,ノルウェー,MET
ベルゲン,Bergen,60.23298,5.21,ノルウェー,MET
モス,Moss,59.26298,10.41298,ノルウェー,MET
ナルヴィク,Narvik,68.1,17,ノルウェー,MET
ハーマル,Hamar,60.51569,10.5937,ノルウェー,MET
リレハンメル,Lillehammer,61.08262,10.26049,ノルウェー,MET
ロム,Lom,61.5114,8.3201,ノルウェー,MET
ゲイランゲル,Geiranger,62.06036,7.18529,ノルウェー,MET
ローエン,Loen,61.5253,6.51277,ノルウェー,MET
バレストランド,Balestrand,61.15119,7.15086,ノルウェー,MET
ボス,Voss,60.38013,6.27526,ノルウェー,MET
ライカンゲル,Leikanger,61.1317,6.45292,ノルウェー,MET
ハンメルフェスト,Hammerfest,70.37548,23.42482,ノルウェー,MET
マスカット,Muscat,23.35301,58.38,オマーン,Asia/Muscat
ソハール,Sohar,24.2722,56.38078,オマーン,Asia/Muscat
スル,Sur,22.33522,59.22502,オマーン,Asia/Muscat
アル・ハルーフ,Al Khaluf,20.33338,57.56413,オマーン,Asia/Muscat
アル・ジャワラ,Al Jawarah,19.0341,57.13264,オマーン,Asia/Muscat
サラーラ,Salalah,17.07206,54.06432,オマーン,Asia/Muscat
カラチ,Karachi,24.52,67.02,パキスタン,Asia/Karachi
ハイダラーバード,Hyderabad,25.22,68.24302,パキスタン,PLT
ファイサラバード,Faisalabad,31.23301,73.08298,パキスタン,PLT
ラーワルピンディー,Rawalpindi,33.373,73.06,パキスタン,PLT
ムルターン,Multan,30.10001,71.35298,パキスタン,PLT
グジュラーンワーラ,Gujranwala,32.07,74.12,パキスタン,PLT
ペシャーワル,Peshawar,34.00302,71.39302,パキスタン,PLT
シアールコート,Sialkot,32.29,74.35298,パキスタン,PLT
サルゴーダ,Sargodha,32,72.38301,パキスタン,PLT
クエッタ,Quetta,30.11298,66.59298,パキスタン,PLT
イスラマバード,Islamabad,33.403,73.103,パキスタン,PLT
サッカル,Sukkur,27.433,68.52001,パキスタン,PLT
バハーワルプル,Bahawalpur,29.22,71.42299,パキスタン,PLT
グジラート,Gujrat,32.35002,74.06,パキスタン,PLT
サヒワル,Sahiwal,30.39,73.09,パキスタン,PLT
ラホール,Lahole,31.33302,74.24,パキスタン,PLT
ナワブシャー,Nawabshah,25.48302,68.3453,パキスタン,PLT
ラヒームヤル・ハーン,Rahimyar Khan,28.41593,70.36137,パキスタン,PLT
パナマ,Panama,8.59002,-79.30302,パナマ,America/Panama
コロン,Colon,9.20298,-79.53298,パナマ,America/Panama
ポートモレスビー,Port Moresby,-9.29298,147.08,パプアニューギニア,Pacific/Port_Moresby
ラバウル,Rabaul,-4.16037,152.0736,パプアニューギニア,Pacific/Port_Moresby
マダン,Madang,-5.08355,145.3956,パプアニューギニア,Pacific/Port_Moresby
ウェワク,Wewak,-3.37534,143.3733,パプアニューギニア,Pacific/Port_Moresby
アスンシオン,Asuncion,-25.15598,-57.39302,パラグアイ,America/Asuncion
アレキパ,Arequipa,-16.24302,-71.32298,ペルー,America/Lima
カヤオ,Callao,-12.03,-77.073,ペルー,America/Lima
トルヒーヨ,Trujillo,-8.073,-78.583,ペルー,America/Lima
チクラヨ,Chiclayo,-6.463,-79.48299,ペルー,America/Lima
ピウラ,Piura,-5.14002,-80.38298,ペルー,America/Lima
チンボテ,Chimbote,-9.04001,-78.32301,ペルー,America/Lima
クスコ,Cuzco,-13.31599,-71.57598,ペルー,America/Lima
イキトス,Iquitos,-3.50002,-73.13001,ペルー,America/Lima
ワンカヨ,Huancayo,-12.03299,-75.12,ペルー,America/Lima
リマ,Lima,-12.06302,-77.02298,ペルー,America/Lima
マニラ,Manila,14.36,121.003,フィリピン,Asia/Manila
ケソン,Quezon,14.39,121.02,フィリピン,Asia/Manila
ダヴァオ,Davao,7.043,125.37,フィリピン,Asia/Manila
セブ,Cebu,10.19,123.553,フィリピン,Asia/Manila
サンボアンガ,Zamboanga,6.55001,122.043,フィリピン,Asia/Manila
バコロド,Bacolod,10.37,122.58,フィリピン,Asia/Manila
イロイロ,Iloilo,10.42,122.323,フィリピン,Asia/Manila
ブトゥアン,Butuan,8.56002,125.32,フィリピン,Asia/Manila
オロンガポ,Olongapo,14.50298,120.163,フィリピン,Asia/Manila
バタンガス,Batangas,13.46,121.03,フィリピン,Asia/Manila
カバナトゥアン,Cabanatuan,15.313,121,フィリピン,Asia/Manila
サン・パブロ,San Pablo,14.05301,121.17,フィリピン,Asia/Manila
バギオ,Baguio,16.23002,120.363,フィリピン,Asia/Manila
リパ,Lipa,13.57302,121.093,フィリピン,Asia/Manila
タクロバン,Tacloban,11.13,124.593,フィリピン,Asia/Manila
アンヘレス,Angeles,15.103,120.33,フィリピン,Asia/Manila
カルバヨグ,Calbayog,12.043,124.37,フィリピン,Asia/Manila
レガスピ,Legaspi,13.07,123.433,フィリピン,Asia/Manila
カガヤンデオロ,Cagayan De oro,8.29,124.4,フィリピン,Asia/Manila
ヘナラル・サントス,General Santos,6.10462,125.04,フィリピン,Asia/Manila
コタバト,Cotabato,7.11521,124.1544,フィリピン,Asia/Manila
ロハス,Roxas,11.32251,122.49,フィリピン,Asia/Manila
プエルト・プリンセサ,Puerto Princesa,9.49296,118.3938,フィリピン,Asia/Manila
ウッジ,Lodz,51.47301,19.27302,ポーランド,MET
クラクフ,Krakow,50.03302,19.553,ポーランド,MET
ブロツワフ,Wroclaw,51.05298,17.01,ポーランド,MET
ポズナン,Poznan,52.25001,16.53298,ポーランド,MET
グダンスク,Gdansk,54.21,18.38298,ポーランド,MET
シュチェチン,Szczecin,53.253,14.32,ポーランド,MET
ビドゴシュチ,Bydgoszcz,53.12,17.583,ポーランド,MET
カトビツェ,Katowice,50.14298,18.59,ポーランド,MET
ルブリン,Lublin,51.163,22.32002,ポーランド,MET
チェンストホーバ,Czestochowa,50.49001,19.06,ポーランド,MET
グディニャ,Gdynia,54.30299,18.313,ポーランド,MET
ラドム,Radom,51.25001,21.08301,ポーランド,MET
キエルツェ,Kielce,50.523,20.37001,ポーランド,MET
トルン,Torun,53.02,18.36299,ポーランド,MET
オルシュティン,Olsztyn,53.47002,20.27299,ポーランド,MET
ジェシュフ,Rzeszow,50.03302,22,ポーランド,MET
オポーレ,Opole,50.4,17.57,ポーランド,MET
エルブロンク,Elblag,54.10001,19.25001,ポーランド,MET
タルヌフ,Tarnow,50.01001,21.00302,ポーランド,MET
ワルシャワ,Walszawa,52.15,21.01,ポーランド,MET
ビアウィストック,Bialystok,53.15238,23.11222,ポーランド,MET
スウプスク,Slupsk,54.24511,17.01282,ポーランド,MET
コシャーリン,Koszalin,54.10376,16.11024,ポーランド,MET
ジェローナ・グーラ,Zielona Gora,51.55581,15.30058,ポーランド,MET
レグニーツァ,Legnica,51.13239,16.10246,ポーランド,MET
バウブジフ,Walbrzych,50.47499,16.19145,ポーランド,MET
リスボン,Lisbon,38.44298,-9.09,ポルトガル,Europe/Lisbon
ポルト,Porto,41.09,-8.37,ポルトガル,Europe/Lisbon
セトゥバル,Setubal,38.313,-8.54,ポルトガル,Europe/Lisbon
コインブラ,Coimbra,40.12302,-8.26301,ポルトガル,Europe/Lisbon
ブラガ,Braga,41.32298,-8.26298,ポルトガル,Europe/Lisbon
フンシャル,Funchal,32.38,-16.54302,ポルトガル,Europe/Lisbon
サンファン,San Juan,18.27,-66.06598,プエルトリコ,America/Argentina/San_Juan
バヤモン,Bayam｢n,18.23298,-66.12,プエルトリコ,America/Argentina/San_Juan
ポンセ,Ponce,18.00302,-66.343,プエルトリコ,America/Argentina/San_Juan
アレシボ,Arecibo,18.27,-66.45598,プエルトリコ,America/Argentina/San_Juan
ドーハ,Duha,25.14002,51.34,カタール,GMT+03:00
ブカレスト,Bucharest,44.27,26.08002,ルーマニア,Europe/Bucharest
ブラショブ,Brasov,45.39,25.343,ルーマニア,EET
コンスタンツァ,Constanta,44.12,28.38301,ルーマニア,EET
ティミショアラ,Timisoara,45.45,21.133,ルーマニア,EET
ヤシ,Iasi,47.09302,27.36,ルーマニア,EET
ガラツィ,Galati,45.27,28.00299,ルーマニア,EET
クラヨバ,Craiova,44.18302,23.48299,ルーマニア,EET
ブライラ,Braila,45.17,27.57,ルーマニア,EET
プロイエシュティ,Ploiesti,44.57,26.00302,ルーマニア,EET
オラデア,Oradea,47.03302,21.55001,ルーマニア,EET
アラド,Arad,46.11298,21.19,ルーマニア,EET
バカウ,Bacau,46.34001,26.55001,ルーマニア,EET
シビウ,Sibiu,45.47002,24.08002,ルーマニア,EET
トゥルグ・ムレシュ,Tirgu Mures,46.33302,24.35298,ルーマニア,EET
ピテシュティ,Pitesti,44.51302,24.52001,ルーマニア,EET
バヤ・マーレ,Baia Mare,47.39302,23.34,ルーマニア,EET
サトゥ・マーレ,Satu Mare,47.48302,22.54,ルーマニア,EET
クルジュ,Cluj,46.463,23.36302,ルーマニア,EET
ノボォシビルスク,Novosibirsk,55.023,83.003,ロシア連邦,Asia/Novosibirsk
スベルドロフスク,Sverdlovsk,56.513,60.33,ロシア連邦,Asia/Omsk
オムスク,Omsk,54.5945,73.243,ロシア連邦,Asia/Omsk
カザン,Kazan,55.49,49.08,ロシア連邦,
ペルミ,Perm,58,56.15,ロシア連邦,
ウファ,Ufa,54.44,55.56,ロシア連邦,
ロストフナドー,Rostov-on-Don,47.15,39.45,ロシア連邦,
ヴォルゴグラード,Volgograd,48.44,44.2515,ロシア連邦,
サラトフ,Saratov,51.3345,46.0015,ロシア連邦,
ウラジオストク,Vladivostok,43.093,131.553,ロシア連邦,Asia/Vladivostok
イルクーツク,Irkutsk,52.1545,104.1815,ロシア連邦,Asia/Irkutsk
クラスノダル,Krasnodar,45.02,39,ロシア連邦,
ハバロフスク,Khabarovsk,48.32,135.08,ロシア連邦,
アストラハン,Astrakhan,46.21,48.03,ロシア連邦,
ムルマンスク,Murmansk,68.573,33.0645,ロシア連邦,
アルハンゲリスク,Arkhangelsk,64.34,40.343,ロシア連邦,
チタ,Chita,52.03,113.3,ロシア連邦,
サント,Saransk,54.11,45.11,ロシア連邦,
ペトロザボーツク,Petrozavodsk,61.47,34.193,ロシア連邦,
アンガルスク,Angarsk,52.34,103.54,ロシア連邦,
ブラーツク,Bratsk,56.05,101.48,ロシア連邦,
ノブゴロド,Novgorod,58.293,31.143,ロシア連邦,
ヤクーツク,Yakutsk,62,129.4,ロシア連邦,Asia/Yakutsk
エカテリンブルグ,Ekaterinburg,56.5,60.3,ロシア連邦,
ニジニノヴゴロド,Nizhnii Novgorod,56.2,44,ロシア連邦,
ロストフナドヌー,Rostov Na donu,47.15,39.45,ロシア連邦,
サマラ,Samara,53,50.1,ロシア連邦,Europe/Samara
サンクトペテルブルグ,Sankt Peterburg,60,30,ロシア連邦,W-SU
チェリャビンスク,Chelvabinsk,55.1015,61.24,ロシア連邦,
モスクワ,Moskva,55.4445,37.4215,ロシア連邦,W-SU
グロズヌイ,Groznyi,43.2,45.42,ロシア連邦,
ウランウデ,Ulan-ude,51.5,107.37,ロシア連邦,
クラスノヤルスク,Krasnoyarsk,56.0245,92.483,ロシア連邦,Asia/Krasnoyarsk
アンバルチク,Ambarchik,69.3,162.3,ロシア連邦,
ディクソン,Dikson,73,81,ロシア連邦,
ハタンガ,Khatanga,72,102.3,ロシア連邦,
ノルドヴィク,Nordvik,74,111,ロシア連邦,
オハ,Okha,53.3405,142.5055,ロシア連邦,
ノグリキ,Nogliki,51.4935,143.0006,ロシア連邦,
オホーツク,Okhotsk,59.2,143,ロシア連邦,
パラナ,Palana,59,160,ロシア連邦,
ペヴェク,Pevek,69.3,171,ロシア連邦,
ティクシ,Tiksi,71.3,129,ロシア連邦,
ウエレン,Uelen,66,-170,ロシア連邦,
ベルホヤンスク,Verkhoyansk,67.3,133,ロシア連邦,
ユジノサハリンスク,Yuzhno Sakhalinsk,46.5756,142.4324,ロシア連邦,
ナホトカ,Nakhodka,42.4758,133.0541,ロシア連邦,
ウスリースク,Ussuriysk,43.4649,131.5303,ロシア連邦,
マガダン,Magadan,59.4049,150.4123,ロシア連邦,Asia/Magadan
コムソモリスク・ナ・アムーレ,Komsomol'sk-na-Amure,50.1425,136.5255,ロシア連邦,
トムスク,Tomsk,56.3138,85.4147,ロシア連邦,
バルナウル,Barnaul,53.2303,83.2709,ロシア連邦,
ケメロボ,Kemerovo,55.172,87.4833,ロシア連邦,
ニジネバルトフスク,Nizhnevartovsk,61.0238,76.2848,ロシア連邦,
スルグト,Surgut,62.0234,73.0609,ロシア連邦,
ボルクタ,Vorkuta,67.2914,63.5058,ロシア連邦,
ヤロスラブリ,Yaroslavl,57.4827,39.3827,ロシア連邦,
トゥラ,Tula,54.0114,38.2311,ロシア連邦,
リャザニ,Ryazan,54.3352,39.3639,ロシア連邦,
ペンザ,Penza,53.0112,45.0303,ロシア連邦,
シンビルスク,Simbirsk,54.2743,48.0308,ロシア連邦,
ボロネジ,Voronezh,51.3924,39.1952,ロシア連邦,
オレンブルグ,Orenburg,51.5643,55.0031,ロシア連邦,
トリヤッティ,Tol'yatti,53.2503,49.3202,ロシア連邦,
ナベレジヌイエ・チェルニー,Naberezhnyye Chelny,55.3407,52.0917,ロシア連邦,
イジェフスク,Izhevsk,56.5319,53.0158,ロシア連邦,
ノボクズネツク,Novokuznetsk,53.4706,88.04,ロシア連邦,
ルブツォフスク,Rubtsovsk,51.3729,81.3058,ロシア連邦,
ビースク,Biysk,52.2944,84.5322,ロシア連邦,
チャラ,Chara,56.553,118.33,ロシア連邦,
ベーリンゴフスキー,Beringovskiy,63.0155,179.0731,ロシア連邦,
アナドィリ,Anadyr',64.3332,176.3208,ロシア連邦,
バンカレム,Vankarem,67.48,-176.0028,ロシア連邦,
ペトロバフロスク・カムチャツキー,Petropavlovsk-Kamchatskiy,53.1505,158.2444,ロシア連邦,
ケーニヒスベルグ,Konigsberg,54.4339,20.393,ロシア連邦,
レイドボ,,45.1457,148.0206,ロシア連邦,Pacific/Kiritimati
キトブイ,,45.1611,147.5319,ロシア連邦,Pacific/Kiritimati
クリリスク,,45.1321,147.5238,ロシア連邦,Pacific/Kiritimati
ルイバキ,,45.1047,147.5215,ロシア連邦,Pacific/Kiritimati
プレペスニク,,44.5459,147.372,ロシア連邦,Pacific/Kiritimati
ユジノ・クリリスク,,44.0202,145.5051,ロシア連邦,Pacific/Kiritimati
メンデレーエフ,,43.5533,145.4017,ロシア連邦,Pacific/Kiritimati
コロブニノ,,43.4431,145.3059,ロシア連邦,Pacific/Kiritimati
マロクリリスコエ,,43.5157,146.4917,ロシア連邦,Pacific/Kiritimati
マタコタン,,43.5137,146.4747,ロシア連邦,Pacific/Kiritimati
クラポザポツコエ,,43.4913,146.4339,ロシア連邦,Pacific/Kiritimati
キガリ,Kigali,-1.55599,30.043,ルワンダ,Africa/Kigali
カストリーズ,Castries,14.00302,-60.58599,セントルシア,UTC
キングスタウン,Kingstown,13.103,-61.13599,セント・ビンセント,UTC
サンマリノ,Sanmarino,43.54302,12.26002,サンマリノ,MET
サントメ,Sao Tome,0.16,6.41002,サントメプリンシペ,Africa/Sao_Tome
ジッダ,Jiddah,21.3,39.11002,サウジアラビア,Asia/Riyadh
メッカ,Mecca,21.26,39.48,サウジアラビア,Asia/Riyadh
ターイフ,Taif,21.15,40.21,サウジアラビア,Asia/Riyadh
メディナ,Medina,24.3,39.343,サウジアラビア,Asia/Riyadh
ダンマーム,Dammam,26.24302,50.06302,サウジアラビア,Asia/Riyadh
フフーフ,Hufuf,25.193,49.343,サウジアラビア,Asia/Riyadh
ブライダ,Buraydah,26.19,43.58,サウジアラビア,Asia/Riyadh
ムバッラーズ,Al-Mubarraz,25.26298,49.37001,サウジアラビア,Asia/Riyadh
リヤド,Riyad,24.38298,46.45302,サウジアラビア,Asia/Riyadh
ダカール,Dakar,14.39299,-17.24598,セネガル,Africa/Dakar
ティエス,Thies,14.49001,-16.51,セネガル,Africa/Dakar
カオラク,Kaolack,14.09302,-16.06,セネガル,Africa/Dakar
ビクトリア,Victoria,-4.38,55.28,セイシェル,Australia/Victoria
フリータウン,Freetown,8.283,-13.15598,シエラレオネ,Africa/Freetown
シンガポール,Singapore,1.17,103.51,シンガポール,Asia/Singapore
ブラチスラバ,Bratislava,48.10001,17.08002,スロバキア,Europe/Bratislava
コシツェ,Kosice,48.43451,21.15151,スロバキア,MET
マリボル,Maribor,46.33151,15.39,スロベニア,MET
リュブリャナ,Ljublijana,46.04001,14.3,スロベニア,MET
ホニアラ,Honiara,-9.28001,159.57,ソロモン諸島,SST
モガディッシュ,Mogadishu,2.03,45.22,ソマリア,Africa/Mogadishu
